Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area,Log_cases,Log_deaths,Label
El Salvador,201785,,4230,,179410.0,,18145.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,12.214958053118146,8.349957272040324,1
Trinidad and Tobago,189296,,4347,,184553.0,,396.0,8.0,134578.0,3090.0,898169.0,638546.0,1406585.0,North America,12.151067206493444,8.377241230988792,1
Maldives,185732,,311,,163687.0,,21734.0,25.0,343322.0,575.0,2213831.0,4092223.0,540985.0,Asia,12.132060053443013,5.739792912179234,1
Ghana,171172,,1462,,169697.0,,13.0,2.0,5284.0,45.0,2529956.0,78096.0,32395450.0,Africa,12.050424177911921,7.2875606403097235,1
Namibia,171156,,4090,,166776.0,,290.0,,64983.0,1553.0,1062663.0,403460.0,2633874.0,Africa,12.050330700311422,8.316300249036848,1
Uganda,170504,,3630,,100431.0,,66443.0,3.0,3520.0,75.0,3012408.0,62198.0,48432863.0,Africa,12.046514035841074,8.196987927258897,1
Jamaica,154065,,3500,,102393.0,,48172.0,,51611.0,1172.0,1183986.0,396633.0,2985094.0,North America,11.945129870268014,8.160518247477505,1
Cambodia,138717,,3056,,135656.0,,5.0,,8080.0,178.0,3091420.0,180062.0,17168639.0,Asia,11.840191165482938,8.024862150286411,1
Rwanda,133180,,1468,,131634.0,,78.0,,9792.0,108.0,6021981.0,442778.0,13600464.0,Africa,11.799456875664614,7.291656209174461,1
Cameroon,124392,,1965,,122344.0,,83.0,13.0,4457.0,70.0,1751774.0,62762.0,27911548.0,Africa,11.731193148537653,7.583247524303362,1
Malta,117477,,827,,116028.0,,622.0,4.0,264568.0,1862.0,2117102.0,4767893.0,444033.0,Europe,11.673997848725008,6.717804695023691,1
Barbados,106645,,575,,106057.0,,13.0,,370266.0,1996.0,794426.0,2758203.0,288023.0,North America,11.577260840475123,6.354370040797351,1
Angola,105255,,1933,,103298.0,,24.0,,3005.0,55.0,1499795.0,42818.0,35027343.0,Africa,11.5641412563545,7.566828479208331,1
Channel Islands,101382,,227,,101029.0,,126.0,,574523.0,1286.0,1252808.0,7099551.0,176463.0,Europe,11.526650839588704,5.424950017481403,1
French Guiana,98041,,420,,11254.0,,86367.0,6.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,11.493141037508432,6.040254711277414,1
DRC,95646,,1464,,84282.0,,9900.0,,1004.0,15.0,846704.0,8890.0,95240792.0,Africa,11.468409154861702,7.288927694521257,1
Senegal,88917,,1971,,86938.0,,8.0,,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa,11.395458629317355,7.58629630715272,1
Malawi,88681,,2686,,85542.0,,453.0,67.0,4394.0,133.0,624784.0,30959.0,20180839.0,Africa,11.392800940166444,7.895808377083183,1
Ivory Coast,88197,,834,,87327.0,,36.0,,3179.0,30.0,1679087.0,60524.0,27742298.0,Africa,11.387328227810965,6.726233402358747,1
Suriname,82227,,1400,,,,,,137773.0,2346.0,240907.0,403644.0,596831.0,South America,11.31723899426403,7.24422751560335,1
New Caledonia,79881,,314,,79558.0,,9.0,9.0,274585.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,11.28829330622956,5.749392985908253,1
French Polynesia,77957,,649,,,,,7.0,274338.0,2284.0,,,284164.0,Australia/Oceania,11.263912671608626,6.47543271670409,1
Eswatini,74199,,1423,,72726.0,,50.0,,62625.0,1201.0,1048704.0,885119.0,1184817.0,Africa,11.214505951975706,7.260522598089852,1
Guyana,73069,,1298,,71752.0,,19.0,,92021.0,1635.0,721841.0,909068.0,794045.0,South America,11.199159479184567,7.168579897264035,1
Belize,70757,,688,,70056.0,,13.0,6.0,171661.0,1669.0,576016.0,1397453.0,412190.0,North America,11.167006750540581,6.5337888379333435,1
Fiji,68889,,883,,66850.0,,1156.0,,75747.0,971.0,668445.0,734986.0,909466.0,Australia/Oceania,11.14025179258698,6.78332520060396,1
Madagascar,67865,,1422,,66433.0,,10.0,,2326.0,49.0,525461.0,18009.0,29178077.0,Africa,11.125275716732066,7.259819610363186,1
